Spot Pairs,Order Type,Direction,feeCoin,ExecFeeV2,Filled Value,Filled Price,Filled Quantity,Fees,Transaction ID,Order No.,Timestamp (UTC)
ETHUSDT,LIMIT,SELL,USDT,1.24765839,1247.65839000000000000000,4200.87000000000000000000,0.29700000000000000000,1.24765839000000000000,2280000001346696359, 85648640,08:10 2025-09-22
ETHUSDT,LIMIT,SELL,USDT,0.2452047819,245.20478190000000000000,4200.87000000000000000000,0.05837000000000000000,0.24520478190000000000,2280000001346696345, 85648640,08:10 2025-09-22
ETHUSDT,LIMIT,BUY,ETH,0.00064549,2769.15210000000000000000,4290.00000000000000000000,0.64549000000000000000,0.00064549000000000000,2280000001345952254, 05011200,04:56 2025-09-22
ETHUSDT,LIMIT,BUY,ETH,0.00006141,263.44890000000000000000,4290.00000000000000000000,0.06141000000000000000,0.00006141000000000000,2280000001345952252, 05011200,04:56 2025-09-22
ETHUSDT,LIMIT,BUY,ETH,0.00023,986.70000000000000000000,4290.00000000000000000000,0.23000000000000000000,0.00023000000000000000,2280000001345952251, 05011200,04:56 2025-09-22
ETHUSDT,LIMIT,BUY,ETH,0.00017701,759.37290000000000000000,4290.00000000000000000000,0.17701000000000000000,0.00017701000000000000,2280000001345952243, 05011200,04:56 2025-09-22
ETHUSDT,LIMIT,SELL,USDT,9.0670316,9067.03160000000000000000,4730.00000000000000000000,1.91692000000000000000,9.06703160000000000000,2280000001291102367, 68141824,11:22 2025-08-23
ETHUSDT,LIMIT,BUY,ETH,0.001746684,4492.75265820000000000000,4629.89000000000000000000,0.97038000000000000000,0.00174668400000000000,2280000001288883846, 20189952,14:53 2025-08-22
ETHUSDT,LIMIT,BUY,ETH,0.00171,4398.39550000000000000000,4629.89000000000000000000,0.95000000000000000000,0.00171000000000000000,2280000001288883845, 20189952,14:53 2025-08-22
ETHUSDT,LIMIT,SELL,USDT,5.8148646,5814.86460000000000000000,4220.00000000000000000000,1.37793000000000000000,5.81486460000000000000,2280000001280900047, 17234432,07:30 2025-08-19
ETHUSDT,LIMIT,BUY,ETH,0.00006764,294.23400000000000000000,4350.00000000000000000000,0.06764000000000000000,0.00006764000000000000,2280000001279817401, 12470016,19:49 2025-08-18
ETHUSDT,LIMIT,BUY,ETH,0.00131167,5705.76450000000000000000,4350.00000000000000000000,1.31167000000000000000,0.00131167000000000000,2280000001279817400, 12470016,19:49 2025-08-18
MNTUSDT,LIMIT,SELL,USDT,0.25182338,251.82338000000000000000,1.24900000000000000000,201.62000000000000000000,0.25182338000000000000,2280000001278321952, 25322240,06:57 2025-08-18
ETHUSDT,LIMIT,SELL,USDT,4.04329656276,2246.27586820000000000000,4252.78000000000000000000,0.52819000000000000000,4.04329656276000000000,2280000001278320719, 17165824,06:56 2025-08-18
ETHUSDT,LIMIT,SELL,USDT,0.734880384,408.26688000000000000000,4252.78000000000000000000,0.09600000000000000000,0.73488038400000000000,2280000001278320718, 17165824,06:56 2025-08-18
ETHUSDT,LIMIT,SELL,USDT,11.069135784,6149.51988000000000000000,4252.78000000000000000000,1.44600000000000000000,11.06913578400000000000,2280000001278320717, 17165824,06:56 2025-08-18
ETHUSDT,LIMIT,SELL,USDT,0.03827502,21.26390000000000000000,4252.78000000000000000000,0.00500000000000000000,0.03827502000000000000,2280000001278320716, 17165824,06:56 2025-08-18
ETHUSDT,LIMIT,SELL,USDT,0.03827502,21.26390000000000000000,4252.78000000000000000000,0.00500000000000000000,0.03827502000000000000,2280000001278320715, 17165824,06:56 2025-08-18
